hashtag,user/id,user/name,likesCount,sharesCount,commentsCount,date,text,text_lower,text_wo_stopfreqrare,text_remove_emoji,text_remove_emoticons,text_remove_urls,text_remove_html,Sentiment
bodoh,pfbid0nxLz18eC7sXMQNfokS1StdnFUBEfF5q5cA4WBttmGDiN7cuC8ptBUUcXYHEJZZySl,Putra Try,19,0,4,2023-07-05T01:32:05.000Z,"Orang #Bodoh 
Fitri CHibounda Juan","orang #bodoh 
fitri chibounda juan",fitri chibounda juan,fitri chibounda juan,fitri chibounda juan,fitri chibounda juan,fitri chibounda juan,neutral
bodoh,pfbid0JosZqes4rJuJaBR4CCtGQqFBoYtwohQr2t9tY1GpUembjDjtDmvY3PMJJbtrb48Rl,Komeng Finariadi,2,4,0,2023-07-05T12:12:14.000Z,"""#Kesalahan orang-orang #pandai ialah menganggap yg lain #bodoh,‼ Dan 
 #Kesalahan orang-orang #bodoh ialah menganggap #Orang_Lain_Pandai”.","""#kesalahan orang-orang #pandai ialah menganggap yg lain #bodoh,‼ dan 
 #kesalahan orang-orang #bodoh ialah menganggap #orang_lain_pandai”.",kesalahan orangorang pandai ialah menganggap bodoh‼ kesalahan orangorang ialah menganggap oranglainpandai”,kesalahan orangorang pandai ialah menganggap bodoh‼ kesalahan orangorang ialah menganggap oranglainpandai”,kesalahan orangorang pandai ialah menganggap bodoh‼ kesalahan orangorang ialah menganggap oranglainpandai”,kesalahan orangorang pandai ialah menganggap bodoh‼ kesalahan orangorang ialah menganggap oranglainpandai”,kesalahan orangorang pandai ialah menganggap bodoh‼ kesalahan orangorang ialah menganggap oranglainpandai”,negative
bodoh,100033192617602,Wong N Deso,75,0,92,2023-05-31T10:55:44.000Z,"Izin atmin klarifikasi
 Mhd Fredy bru ngerti sound jd kracunan,, tdk puas brang jngan di bwa, bukan bli brang dlam karung,, bebas pilih prangkat ,pket sma riquest beda ,bisa di sesuikan ,,sudah di buat ngamen tahunan bru complain skrang,,sblmunya sdah selesai mslahny di bilang brkali""Ini mslah lg ,(situ waras ),, 
Klo emng paket sya kamu bilang speknya 5/ 6 jt hbisny sya psan 10 unit
 Di ajak ketemuan lg gk mau ,,maksud kamu mau gimana menjatuhkan jualan sya,,mhd Fredy ,,konsumen kan gk #bodoh,,,di coba dlu di lpangan tdk puas jngan di bwa
 Gimana ni atmin petunjukny Yu Die 
Abah sya Alang Musica 
Biar agak bising dlu grupny ya min","izin atmin klarifikasi
 mhd fredy bru ngerti sound jd kracunan,, tdk puas brang jngan di bwa, bukan bli brang dlam karung,, bebas pilih prangkat ,pket sma riquest beda ,bisa di sesuikan ,,sudah di buat ngamen tahunan bru complain skrang,,sblmunya sdah selesai mslahny di bilang brkali""ini mslah lg ,(situ waras ),, 
klo emng paket sya kamu bilang speknya 5/ 6 jt hbisny sya psan 10 unit
 di ajak ketemuan lg gk mau ,,maksud kamu mau gimana menjatuhkan jualan sya,,mhd fredy ,,konsumen kan gk #bodoh,,,di coba dlu di lpangan tdk puas jngan di bwa
 gimana ni atmin petunjukny yu die 
abah sya alang musica 
biar agak bising dlu grupny ya min",izin atmin klarifikasi mhd fredy bru ngerti sound jd kracunan tdk puas brang jngan bwa bli brang dlam karung bebas pilih prangkat pket sma riquest beda sesuikan buat ngamen tahunan bru complain skrangsblmunya sdah selesai mslahny bilang brkaliini mslah lg waras klo emng paket sya bilang speknya 5 6 jt hbisny sya psan 10 unit ajak ketemuan lg gk mau maksud mau gimana menjatuhkan jualan syamhd fredy konsumen kan gk bodohdi coba dlu lpangan tdk puas jngan bwa gimana ni atmin petunjukny yu die abah sya alang musica biar bising dlu grupny min,izin atmin klarifikasi mhd fredy bru ngerti sound jd kracunan tdk puas brang jngan bwa bli brang dlam karung bebas pilih prangkat pket sma riquest beda sesuikan buat ngamen tahunan bru complain skrangsblmunya sdah selesai mslahny bilang brkaliini mslah lg waras klo emng paket sya bilang speknya 5 6 jt hbisny sya psan 10 unit ajak ketemuan lg gk mau maksud mau gimana menjatuhkan jualan syamhd fredy konsumen kan gk bodohdi coba dlu lpangan tdk puas jngan bwa gimana ni atmin petunjukny yu die abah sya alang musica biar bising dlu grupny min,izin atmin klarifikasi mhd fredy bru ngerti sound jd kracunan tdk puas brang jngan bwa bli brang dlam karung bebas pilih prangkat pket sma riquest beda sesuikan buat ngamen tahunan bru complain skrangsblmunya sdah selesai mslahny bilang brkaliini mslah lg waras klo emng paket sya bilang speknya 5 6 jt hbisny sya psan 10 unit ajak ketemuan lg gk mau maksud mau gimana menjatuhkan jualan syamhd fredy konsumen kan gk bodohdi coba dlu lpangan tdk puas jngan bwa gimana ni atmin petunjukny yu die abah sya alang musica biar bising dlu grupny min,izin atmin klarifikasi mhd fredy bru ngerti sound jd kracunan tdk puas brang jngan bwa bli brang dlam karung bebas pilih prangkat pket sma riquest beda sesuikan buat ngamen tahunan bru complain skrangsblmunya sdah selesai mslahny bilang brkaliini mslah lg waras klo emng paket sya bilang speknya 5 6 jt hbisny sya psan 10 unit ajak ketemuan lg gk mau maksud mau gimana menjatuhkan jualan syamhd fredy konsumen kan gk bodohdi coba dlu lpangan tdk puas jngan bwa gimana ni atmin petunjukny yu die abah sya alang musica biar bising dlu grupny min,izin atmin klarifikasi mhd fredy bru ngerti sound jd kracunan tdk puas brang jngan bwa bli brang dlam karung bebas pilih prangkat pket sma riquest beda sesuikan buat ngamen tahunan bru complain skrangsblmunya sdah selesai mslahny bilang brkaliini mslah lg waras klo emng paket sya bilang speknya 5 6 jt hbisny sya psan 10 unit ajak ketemuan lg gk mau maksud mau gimana menjatuhkan jualan syamhd fredy konsumen kan gk bodohdi coba dlu lpangan tdk puas jngan bwa gimana ni atmin petunjukny yu die abah sya alang musica biar bising dlu grupny min,negative
bodoh,pfbid0JK3Ln9cZm1x7L9FiTWDNBJQTXQwo9afadFnhkGkwfR42pmGQV2oBMejT13JyZcnKl,Suyati Suyati,50,1,22,2023-06-23T23:04:19.000Z,"Heran kenapa si Endrow mau aja ma Namirot stlh tahu Namirot kek gitu,dn Angel gd rasa ma dy,menurutku kok Endrow maaf ya #bodoh","heran kenapa si endrow mau aja ma namirot stlh tahu namirot kek gitu,dn angel gd rasa ma dy,menurutku kok endrow maaf ya #bodoh",heran kenapa si endrow mau aja ma namirot stlh tahu namirot kek gitudn angel gd rasa ma dymenurutku kok endrow maaf,heran kenapa si endrow mau aja ma namirot stlh tahu namirot kek gitudn angel gd rasa ma dymenurutku kok endrow maaf,heran kenapa si endrow mau aja ma namirot stlh tahu namirot kek gitudn angel gd rasa ma dymenurutku kok endrow maaf,heran kenapa si endrow mau aja ma namirot stlh tahu namirot kek gitudn angel gd rasa ma dymenurutku kok endrow maaf,heran kenapa si endrow mau aja ma namirot stlh tahu namirot kek gitudn angel gd rasa ma dymenurutku kok endrow maaf,negative
bodoh,100079606192822,Ah Lian - Your Property Consultant,0,0,0,2023-07-08T06:16:47.000Z,"# sangat Developer ni 【 】 Kondo ❌RM700k ✅Hanya Jual【】

Lokasi dekat City Centre 
.
5️⃣ minit jalan boleh sampai: ☕️ ’ Lagi boleh sampai dua Kedai ’ 
.
Dan juga【 】Hanya ada . Kondo yang Sangat Privasi 
.
Yang paling shiok!!! . Harga hanya【】【 】
.
 ?
.
1️⃣Boleh buat yang【 】‍ Nak sekaligus masak 10 periuk Curry. Pun OK juga 
.
2️⃣ Medium Bedroom lagi shiok, nampak macam you Sebab Kondo ini buat【 】Semua Bilik ada pasang Tandas sendiri ️
.
3️⃣ Master Bedroom nampak lagi besar. Selepas pasang King Size Bed, masih ada ruang untuk buat【- 】
.
4️⃣ Dan juga ya. Bilik Mandi nya nampak lebar sangat Nak pasang【】di dalam Pun boleh muat juga
.
Kini developer ada bagi【 】dan juga -, yang Percuma
 .
Jika you Minat , ini【 】, tekan【】Link di bawah untuk dapat e-Brochure ⤵️ 
.
 - ‍
.
☎️: - 
☎️: - 
☎️: - 
.
https:/\/wa.link\/1n44zh
https:\/\/wa.link\/1n44zh
https:\/\/wa.link\/1n44zh","# sangat developer ni 【 】 kondo ❌rm700k ✅hanya jual【】

lokasi dekat city centre 
.
5️⃣ minit jalan boleh sampai: ☕️ ’ lagi boleh sampai dua kedai ’ 
.
dan juga【 】hanya ada . kondo yang sangat privasi 
.
yang paling shiok!!! . harga hanya【】【 】
.
 ?
.
1️⃣boleh buat yang【 】‍ nak sekaligus masak 10 periuk curry. pun ok juga 
.
2️⃣ medium bedroom lagi shiok, nampak macam you sebab kondo ini buat【 】semua bilik ada pasang tandas sendiri ️
.
3️⃣ master bedroom nampak lagi besar. selepas pasang king size bed, masih ada ruang untuk buat【- 】
.
4️⃣ dan juga ya. bilik mandi nya nampak lebar sangat nak pasang【】di dalam pun boleh muat juga
.
kini developer ada bagi【 】dan juga -, yang percuma
 .
jika you minat , ini【 】, tekan【】link di bawah untuk dapat e-brochure ⤵️ 
.
 - ‍
.
☎️: - 
☎️: - 
☎️: - 
.
https:/\/wa.link\/1n44zh
https:\/\/wa.link\/1n44zh
https:\/\/wa.link\/1n44zh",developer ni 【 】 kondo ❌rm700k ✅hanya jual【】 lokasi dekat city centre 5️⃣ minit jalan ☕️ ’ dua kedai ’ juga【 】hanya kondo privasi shiok harga hanya【】【 】 1️⃣boleh buat yang【 】‍ nak sekaligus masak 10 periuk curry ok 2️⃣ medium bedroom shiok nampak macam you kondo buat【 】semua bilik pasang tandas ️ 3️⃣ master bedroom nampak besar selepas pasang king size bed ruang buat【 】 4️⃣ bilik mandi nampak lebar nak pasang【】di muat developer bagi【 】dan percuma you minat ini【 】 tekan【】link ebrochure ⤵️ ‍ ☎️ ☎️ ☎️ httpswalink1n44zh httpswalink1n44zh httpswalink1n44zh,developer ni   kondo rm700k hanya jual lokasi dekat city centre 5⃣ minit jalan  ’ dua kedai ’ juga hanya kondo privasi shiok harga hanya  1⃣boleh buat yang ‍ nak sekaligus masak 10 periuk curry ok 2⃣ medium bedroom shiok nampak macam you kondo buat semua bilik pasang tandas  3⃣ master bedroom nampak besar selepas pasang king size bed ruang buat  4⃣ bilik mandi nampak lebar nak pasangdi muat developer bagi dan percuma you minat ini  tekanlink ebrochure  ‍    httpswalink1n44zh httpswalink1n44zh httpswalink1n44zh,developer ni   kondo rm700k hanya jual lokasi dekat city centre 5⃣ minit jalan  ’ dua kedai ’ juga hanya kondo privasi shiok harga hanya  1⃣boleh buat yang ‍ nak sekaligus masak 10 periuk curry ok 2⃣ medium bedroom shiok nampak macam you kondo buat semua bilik pasang tandas  3⃣ master bedroom nampak besar selepas pasang king size bed ruang buat  4⃣ bilik mandi nampak lebar nak pasangdi muat developer bagi dan percuma you minat ini  tekanlink ebrochure  ‍    httpswalink1n44zh httpswalink1n44zh httpswalink1n44zh,developer ni   kondo rm700k hanya jual lokasi dekat city centre 5⃣ minit jalan  ’ dua kedai ’ juga hanya kondo privasi shiok harga hanya  1⃣boleh buat yang ‍ nak sekaligus masak 10 periuk curry ok 2⃣ medium bedroom shiok nampak macam you kondo buat semua bilik pasang tandas  3⃣ master bedroom nampak besar selepas pasang king size bed ruang buat  4⃣ bilik mandi nampak lebar nak pasangdi muat developer bagi dan percuma you minat ini  tekanlink ebrochure  ‍    httpswalink1n44zh httpswalink1n44zh httpswalink1n44zh,developer ni   kondo rm700k hanya jual lokasi dekat city centre 5⃣ minit jalan  ’ dua kedai ’ juga hanya kondo privasi shiok harga hanya  1⃣boleh buat yang ‍ nak sekaligus masak 10 periuk curry ok 2⃣ medium bedroom shiok nampak macam you kondo buat semua bilik pasang tandas  3⃣ master bedroom nampak besar selepas pasang king size bed ruang buat  4⃣ bilik mandi nampak lebar nak pasangdi muat developer bagi dan percuma you minat ini  tekanlink ebrochure  ‍    httpswalink1n44zh httpswalink1n44zh httpswalink1n44zh,positive
bodoh,pfbid0xwbXqKPv2mKwBJtXJxK88QwagSZ2AoYNup314QxqzUBpSczMSv5ZUnFonmAvL69Fl,星野淳,0,1,1,2023-07-06T06:19:23.000Z,nan,nan,nan,nan,nan,nan,nan,neutral
bodoh,100001792091594,Nursatia Saruksuk,74,0,34,2023-06-19T13:48:55.000Z,"Siap senam, tiktokan. Sehat badan & sehat jiwa
#bodoh amat dengan si tukang gosip","siap senam, tiktokan. sehat badan & sehat jiwa
#bodoh amat dengan si tukang gosip",siap senam tiktokan sehat badan sehat jiwa si tukang gosip,siap senam tiktokan sehat badan sehat jiwa si tukang gosip,siap senam tiktokan sehat badan sehat jiwa si tukang gosip,siap senam tiktokan sehat badan sehat jiwa si tukang gosip,siap senam tiktokan sehat badan sehat jiwa si tukang gosip,negative
bodoh,pfbid0V1FBj6kfyKmsVwgEqmZRPVHzNzMMhsNDtSdQbgUaX6otob84CKd1bugD1eL584v8l,Hamdan Napiah,1,0,0,2023-07-08T08:28:38.000Z,"Walaon #Pas tipu rakyat.
#Bodoh undang2 pilihanraya
Inilah kerja jahat fitnah 
Pas dh tersepit terdesak
By hook by crook depa akan salahkan DAP
Dh fobia dah trauma dik DAP","walaon #pas tipu rakyat.
#bodoh undang2 pilihanraya
inilah kerja jahat fitnah 
pas dh tersepit terdesak
by hook by crook depa akan salahkan dap
dh fobia dah trauma dik dap",walaon pas tipu rakyat undang2 pilihanraya kerja jahat fitnah pas dh tersepit terdesak by hook by crook depa salahkan dap dh fobia dah trauma dik dap,walaon pas tipu rakyat undang2 pilihanraya kerja jahat fitnah pas dh tersepit terdesak by hook by crook depa salahkan dap dh fobia dah trauma dik dap,walaon pas tipu rakyat undang2 pilihanraya kerja jahat fitnah pas dh tersepit terdesak by hook by crook depa salahkan dap dh fobia dah trauma dik dap,walaon pas tipu rakyat undang2 pilihanraya kerja jahat fitnah pas dh tersepit terdesak by hook by crook depa salahkan dap dh fobia dah trauma dik dap,walaon pas tipu rakyat undang2 pilihanraya kerja jahat fitnah pas dh tersepit terdesak by hook by crook depa salahkan dap dh fobia dah trauma dik dap,negative
bodoh,100064764726338,华人网,1284,89,88,2022-12-06T05:44:01.000Z,"Myvi司机乱停车
车子被喷bodoh

=====

若你有任何产品/活动想要宣传，欢迎PM我们

#华人网 #bodoh","myvi司机乱停车
车子被喷bodoh

=====

若你有任何产品/活动想要宣传，欢迎pm我们

#华人网 #bodoh",myvi司机乱停车 车子被喷bodoh 若你有任何产品活动想要宣传，欢迎pm我们 华人网,myvi bodoh pm ,myvi bodoh pm ,myvi bodoh pm ,myvi bodoh pm ,negative
bodoh,pfbid0B8jRXaZgpDVRY6kKNzN3isKnhjai8gJUxJHMTCQZgn5LR7MTfHAJP9r9XEJXqYbCl,Zie'Man Rayyan,51,0,7,2023-06-23T06:32:59.000Z,"Anda nk tinggi..? Masih tercari-cari ubat / suplement untuk tinggi, binggung serta biol kerana nk tinggi tak tinggi-tinggi..saya ada jalan penyelesaiannya..
- kenapa..? Kamu tidak percaya dengan saya..saya ada dua orang di sebelah saya nie yang sudah terbukti telah menjadi tinggi macam galah..ehhhh..kamu nanya..kamu nanya..??? Nanya-nanya kamu..bankin 10k nanti kamu akan tahu rahsianya untuk tinggi..cepat-cepat..siapa lambat pasti melepas..
#Scammer
#Bengong
#Tolol
#Bodoh","anda nk tinggi..? masih tercari-cari ubat / suplement untuk tinggi, binggung serta biol kerana nk tinggi tak tinggi-tinggi..saya ada jalan penyelesaiannya..
- kenapa..? kamu tidak percaya dengan saya..saya ada dua orang di sebelah saya nie yang sudah terbukti telah menjadi tinggi macam galah..ehhhh..kamu nanya..kamu nanya..??? nanya-nanya kamu..bankin 10k nanti kamu akan tahu rahsianya untuk tinggi..cepat-cepat..siapa lambat pasti melepas..
#scammer
#bengong
#tolol
#bodoh",anda nk tinggi tercaricari ubat suplement tinggi binggung biol nk tinggi tinggitinggisaya jalan penyelesaiannya kenapa percaya sayasaya dua sebelah nie terbukti tinggi macam galahehhhhkamu nanyakamu nanya nanyananya kamubankin 10k nanti tahu rahsianya tinggicepatcepatsiapa lambat melepas scammer bengong tolol,anda nk tinggi tercaricari ubat suplement tinggi binggung biol nk tinggi tinggitinggisaya jalan penyelesaiannya kenapa percaya sayasaya dua sebelah nie terbukti tinggi macam galahehhhhkamu nanyakamu nanya nanyananya kamubankin 10k nanti tahu rahsianya tinggicepatcepatsiapa lambat melepas scammer bengong tolol,anda nk tinggi tercaricari ubat suplement tinggi binggung biol nk tinggi tinggitinggisaya jalan penyelesaiannya kenapa percaya sayasaya dua sebelah nie terbukti tinggi macam galahehhhhkamu nanyakamu nanya nanyananya kamubankin 10k nanti tahu rahsianya tinggicepatcepatsiapa lambat melepas scammer bengong tolol,anda nk tinggi tercaricari ubat suplement tinggi binggung biol nk tinggi tinggitinggisaya jalan penyelesaiannya kenapa percaya sayasaya dua sebelah nie terbukti tinggi macam galahehhhhkamu nanyakamu nanya nanyananya kamubankin 10k nanti tahu rahsianya tinggicepatcepatsiapa lambat melepas scammer bengong tolol,anda nk tinggi tercaricari ubat suplement tinggi binggung biol nk tinggi tinggitinggisaya jalan penyelesaiannya kenapa percaya sayasaya dua sebelah nie terbukti tinggi macam galahehhhhkamu nanyakamu nanya nanyananya kamubankin 10k nanti tahu rahsianya tinggicepatcepatsiapa lambat melepas scammer bengong tolol,negative
